,FishnetID,ReportingMonth,PerformanceTarget,dl_avg_pred,df_error
1404,1327194,2017-06-01,0.8178,0.0,-0.8178
1405,1327194,2017-07-01,0.7752,0.0,-0.7752
1406,1327194,2017-08-01,0.7223,0.0,-0.7223
1407,1327194,2017-09-01,0.7467,0.7634398341178894,0.016739834117889374
1408,1327194,2017-10-01,0.706,0.7672439813613892,0.0612439813613892
1409,1327194,2017-11-01,0.7964,0.7400451898574829,-0.05635481014251709
1410,1327194,2017-12-01,0.7751,0.7997925281524658,0.02469252815246581
1411,1327194,2018-01-01,0.7715,0.7921537756919861,0.02065377569198612
1412,1327194,2018-02-01,0.7272,0.7987409234046936,0.07154092340469365
1413,1327194,2018-03-01,0.7311,0.7803183794021606,0.04921837940216067
1414,1327194,2018-04-01,0.7303,0.771401584148407,0.04110158414840703
1415,1327194,2018-05-01,0.732,0.7814844250679016,0.04948442506790163
1416,1327194,2018-06-01,0.7357,0.7688840627670288,0.03318406276702879
1424,1329686,2018-01-01,0.2852,0.9976677298545837,0.7124677298545837
1425,1329686,2018-02-01,0.6351,0.5336547493934631,-0.10144525060653686
1426,1329686,2018-03-01,0.6574,0.6764416098594666,0.01904160985946657
1427,1329686,2018-04-01,0.583,0.6614874005317688,0.07848740053176884
1428,1329686,2018-05-01,0.6295,0.6107873916625977,-0.018712608337402292
1429,1329686,2018-06-01,0.7922,0.6425237059593201,-0.14967629404067995
